source_schema,source_table,source_model,owner,action,target,mapping_rule,migration_status
public,organization_role_settings,OrganizationRoleSetting,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,User,User,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,Department,Department,organization,Merge/extend,organization_units + positions + job profiles/company/location extensions,Keep designation/job title separate from an approved position; preserve hierarchy and effective dates.,Not executed
public,department_designations,Designation,organization,Merge/extend,organization_units + positions + job profiles/company/location extensions,Keep designation/job title separate from an approved position; preserve hierarchy and effective dates.,Not executed
public,branches,Branch,organization,Merge/extend,organization_units + positions + job profiles/company/location extensions,Keep designation/job title separate from an approved position; preserve hierarchy and effective dates.,Not executed
public,JobTitle,JobTitle,organization,Merge/extend,organization_units + positions + job profiles/company/location extensions,Keep designation/job title separate from an approved position; preserve hierarchy and effective dates.,Not executed
public,Employee,Employee,workforce,Merge/extend,workers + employments + restricted profile extensions,Split person and employment fields; preserve payroll/profile fields with field access; no email-only linking.,Not executed
public,employee_lifecycle_events,EmployeeLifecycleEvent,lifecycle,Merge/extend,lifecycle_cases + tasks + lifecycle events,"Preserve statuses, assignees and histories; prehire is not active employment.",Not executed
public,employee_tasks,EmployeeTask,lifecycle,Merge/extend,lifecycle_cases + tasks + lifecycle events,"Preserve statuses, assignees and histories; prehire is not active employment.",Not executed
public,probation_records,ProbationRecord,probation,Port unique capability,probation records and policy versions,Port unique capability; human review and effective dates.,Not executed
public,probation_policy_settings,ProbationPolicySettings,probation,Port unique capability,probation records and policy versions,Port unique capability; human review and effective dates.,Not executed
public,OnboardingGroup,OnboardingGroup,templates,Port unique capability,versioned lifecycle templates and groups,Port existing unique capability; template application must be repeat-safe.,Not executed
public,OnboardingTemplate,OnboardingTemplate,templates,Port unique capability,versioned lifecycle templates and groups,Port existing unique capability; template application must be repeat-safe.,Not executed
